firm_name,ticker,quarter,quarter_str,total_patents,ai_patents,ai_share
"A9.com, Inc.",AMZN,2016Q4,2016Q4,8,7,0.875
"A9.com, Inc.",AMZN,2017Q1,2017Q1,12,12,1.0
"A9.com, Inc.",AMZN,2017Q2,2017Q2,17,17,1.0
"A9.com, Inc.",AMZN,2017Q3,2017Q3,11,10,0.9090909090909091
"A9.com, Inc.",AMZN,2017Q4,2017Q4,14,10,0.7142857142857143
"A9.com, Inc.",AMZN,2018Q1,2018Q1,20,18,0.9
"A9.com, Inc.",AMZN,2018Q2,2018Q2,11,10,0.9090909090909091
"A9.com, Inc.",AMZN,2018Q3,2018Q3,16,14,0.875
"A9.com, Inc.",AMZN,2018Q4,2018Q4,16,12,0.75
"A9.com, Inc.",AMZN,2019Q1,2019Q1,12,10,0.8333333333333334
"A9.com, Inc.",AMZN,2019Q2,2019Q2,13,11,0.8461538461538461
"A9.com, Inc.",AMZN,2019Q3,2019Q3,16,12,0.75
"A9.com, Inc.",AMZN,2019Q4,2019Q4,16,13,0.8125
"A9.com, Inc.",AMZN,2020Q1,2020Q1,17,12,0.7058823529411765
"A9.com, Inc.",AMZN,2020Q2,2020Q2,8,5,0.625
"A9.com, Inc.",AMZN,2020Q3,2020Q3,17,15,0.8823529411764706
"A9.com, Inc.",AMZN,2020Q4,2020Q4,12,9,0.75
"A9.com, Inc.",AMZN,2021Q1,2021Q1,14,14,1.0
"A9.com, Inc.",AMZN,2021Q2,2021Q2,6,5,0.8333333333333334
"A9.com, Inc.",AMZN,2021Q3,2021Q3,16,13,0.8125
"A9.com, Inc.",AMZN,2021Q4,2021Q4,5,4,0.8
"A9.com, Inc.",AMZN,2022Q1,2022Q1,13,10,0.7692307692307693
"A9.com, Inc.",AMZN,2022Q2,2022Q2,3,2,0.6666666666666666
"A9.com, Inc.",AMZN,2022Q3,2022Q3,6,6,1.0
"A9.com, Inc.",AMZN,2022Q4,2022Q4,3,2,0.6666666666666666
"A9.com, Inc.",AMZN,2023Q1,2023Q1,3,3,1.0
"A9.com, Inc.",AMZN,2023Q2,2023Q2,1,0,0.0
"A9.com, Inc.",AMZN,2023Q3,2023Q3,5,4,0.8
"A9.com, Inc.",AMZN,2023Q4,2023Q4,2,2,1.0
ABBOTT DIABETES CARE INC.,ABT,2016Q1,2016Q1,16,2,0.125
ABBOTT DIABETES CARE INC.,ABT,2016Q2,2016Q2,30,5,0.16666666666666666
ABBOTT DIABETES CARE INC.,ABT,2016Q3,2016Q3,15,2,0.13333333333333333
ABBOTT DIABETES CARE INC.,ABT,2016Q4,2016Q4,24,8,0.3333333333333333
ABBOTT DIABETES CARE INC.,ABT,2017Q1,2017Q1,14,4,0.2857142857142857
ABBOTT DIABETES CARE INC.,ABT,2017Q2,2017Q2,21,6,0.2857142857142857
ABBOTT DIABETES CARE INC.,ABT,2017Q3,2017Q3,25,4,0.16
ABBOTT DIABETES CARE INC.,ABT,2017Q4,2017Q4,25,4,0.16
ABBOTT DIABETES CARE INC.,ABT,2018Q1,2018Q1,13,1,0.07692307692307693
ABBOTT DIABETES CARE INC.,ABT,2018Q2,2018Q2,24,4,0.16666666666666666
ABBOTT DIABETES CARE INC.,ABT,2018Q3,2018Q3,20,5,0.25
ABBOTT DIABETES CARE INC.,ABT,2018Q4,2018Q4,17,4,0.23529411764705882
ABBOTT DIABETES CARE INC.,ABT,2019Q1,2019Q1,23,5,0.21739130434782608
ABBOTT DIABETES CARE INC.,ABT,2019Q2,2019Q2,11,4,0.36363636363636365
ABBOTT DIABETES CARE INC.,ABT,2019Q3,2019Q3,15,2,0.13333333333333333
ABBOTT DIABETES CARE INC.,ABT,2019Q4,2019Q4,10,2,0.2
ABBOTT DIABETES CARE INC.,ABT,2020Q1,2020Q1,5,0,0.0
ABBOTT DIABETES CARE INC.,ABT,2020Q2,2020Q2,11,1,0.09090909090909091
ABBOTT DIABETES CARE INC.,ABT,2020Q3,2020Q3,8,2,0.25
ABBOTT DIABETES CARE INC.,ABT,2020Q4,2020Q4,11,2,0.18181818181818182
ABBOTT DIABETES CARE INC.,ABT,2021Q1,2021Q1,22,6,0.2727272727272727
ABBOTT DIABETES CARE INC.,ABT,2021Q2,2021Q2,19,5,0.2631578947368421
ABBOTT DIABETES CARE INC.,ABT,2021Q3,2021Q3,22,4,0.18181818181818182
ABBOTT DIABETES CARE INC.,ABT,2021Q4,2021Q4,20,5,0.25
ABBOTT DIABETES CARE INC.,ABT,2022Q1,2022Q1,18,2,0.1111111111111111
ABBOTT DIABETES CARE INC.,ABT,2022Q2,2022Q2,15,5,0.3333333333333333
ABBOTT DIABETES CARE INC.,ABT,2022Q3,2022Q3,9,4,0.4444444444444444
ABBOTT DIABETES CARE INC.,ABT,2022Q4,2022Q4,12,6,0.5
ABBOTT DIABETES CARE INC.,ABT,2023Q1,2023Q1,9,3,0.3333333333333333
ABBOTT DIABETES CARE INC.,ABT,2023Q2,2023Q2,9,1,0.1111111111111111
ABBOTT DIABETES CARE INC.,ABT,2023Q3,2023Q3,12,1,0.08333333333333333
ABBOTT DIABETES CARE INC.,ABT,2023Q4,2023Q4,11,3,0.2727272727272727
"ADP, Inc.",ADP,2017Q1,2017Q1,1,1,1.0
"ADP, Inc.",ADP,2017Q2,2017Q2,1,1,1.0
"ADP, Inc.",ADP,2017Q3,2017Q3,4,4,1.0
"ADP, Inc.",ADP,2017Q4,2017Q4,2,2,1.0
"ADP, Inc.",ADP,2018Q1,2018Q1,5,4,0.8
"ADP, Inc.",ADP,2018Q2,2018Q2,1,1,1.0
"ADP, Inc.",ADP,2018Q3,2018Q3,5,4,0.8
"ADP, Inc.",ADP,2018Q4,2018Q4,9,7,0.7777777777777778
"ADP, Inc.",ADP,2019Q1,2019Q1,1,1,1.0
"ADP, Inc.",ADP,2019Q2,2019Q2,8,6,0.75
"ADP, Inc.",ADP,2019Q3,2019Q3,7,6,0.8571428571428571
"ADP, Inc.",ADP,2019Q4,2019Q4,7,6,0.8571428571428571
"ADP, Inc.",ADP,2020Q1,2020Q1,5,5,1.0
"ADP, Inc.",ADP,2020Q2,2020Q2,8,8,1.0
"ADP, Inc.",ADP,2020Q3,2020Q3,10,8,0.8
"ADP, Inc.",ADP,2020Q4,2020Q4,17,17,1.0
"ADP, Inc.",ADP,2021Q1,2021Q1,10,9,0.9
"ADP, Inc.",ADP,2021Q2,2021Q2,12,12,1.0
"ADP, Inc.",ADP,2021Q3,2021Q3,13,12,0.9230769230769231
"ADP, Inc.",ADP,2021Q4,2021Q4,13,13,1.0
"ADP, Inc.",ADP,2022Q1,2022Q1,9,9,1.0
"ADP, Inc.",ADP,2022Q2,2022Q2,11,9,0.8181818181818182
"ADP, Inc.",ADP,2022Q3,2022Q3,8,5,0.625
"ADP, Inc.",ADP,2022Q4,2022Q4,9,8,0.8888888888888888
"ADP, Inc.",ADP,2023Q1,2023Q1,10,9,0.9
"ADP, Inc.",ADP,2023Q2,2023Q2,3,3,1.0
"ADP, Inc.",ADP,2023Q3,2023Q3,6,6,1.0
"ADP, Inc.",ADP,2023Q4,2023Q4,7,5,0.7142857142857143
"AMAZON TECHNOLOGIES, INC.",AMZN,2016Q1,2016Q1,428,260,0.6074766355140186
"AMAZON TECHNOLOGIES, INC.",AMZN,2016Q2,2016Q2,397,237,0.5969773299748111
"AMAZON TECHNOLOGIES, INC.",AMZN,2016Q3,2016Q3,405,237,0.5851851851851851
"AMAZON TECHNOLOGIES, INC.",AMZN,2016Q4,2016Q4,432,253,0.5856481481481481
"AMAZON TECHNOLOGIES, INC.",AMZN,2017Q1,2017Q1,466,281,0.6030042918454935
"AMAZON TECHNOLOGIES, INC.",AMZN,2017Q2,2017Q2,459,275,0.599128540305011
"AMAZON TECHNOLOGIES, INC.",AMZN,2017Q3,2017Q3,556,330,0.5935251798561151
"AMAZON TECHNOLOGIES, INC.",AMZN,2017Q4,2017Q4,481,273,0.5675675675675675
"AMAZON TECHNOLOGIES, INC.",AMZN,2018Q1,2018Q1,471,273,0.5796178343949044
"AMAZON TECHNOLOGIES, INC.",AMZN,2018Q2,2018Q2,486,287,0.5905349794238683
"AMAZON TECHNOLOGIES, INC.",AMZN,2018Q3,2018Q3,506,289,0.5711462450592886
"AMAZON TECHNOLOGIES, INC.",AMZN,2018Q4,2018Q4,571,353,0.6182136602451839
"AMAZON TECHNOLOGIES, INC.",AMZN,2019Q1,2019Q1,513,316,0.6159844054580896
"AMAZON TECHNOLOGIES, INC.",AMZN,2019Q2,2019Q2,626,391,0.6246006389776357
"AMAZON TECHNOLOGIES, INC.",AMZN,2019Q3,2019Q3,615,351,0.5707317073170731
"AMAZON TECHNOLOGIES, INC.",AMZN,2019Q4,2019Q4,672,424,0.6309523809523809
"AMAZON TECHNOLOGIES, INC.",AMZN,2020Q1,2020Q1,525,338,0.6438095238095238
"AMAZON TECHNOLOGIES, INC.",AMZN,2020Q2,2020Q2,568,360,0.6338028169014085
"AMAZON TECHNOLOGIES, INC.",AMZN,2020Q3,2020Q3,583,389,0.6672384219554031
"AMAZON TECHNOLOGIES, INC.",AMZN,2020Q4,2020Q4,567,363,0.6402116402116402
"AMAZON TECHNOLOGIES, INC.",AMZN,2021Q1,2021Q1,586,363,0.6194539249146758
"AMAZON TECHNOLOGIES, INC.",AMZN,2021Q2,2021Q2,457,290,0.6345733041575492
"AMAZON TECHNOLOGIES, INC.",AMZN,2021Q3,2021Q3,510,324,0.6352941176470588
"AMAZON TECHNOLOGIES, INC.",AMZN,2021Q4,2021Q4,388,263,0.6778350515463918
"AMAZON TECHNOLOGIES, INC.",AMZN,2022Q1,2022Q1,409,289,0.706601466992665
"AMAZON TECHNOLOGIES, INC.",AMZN,2022Q2,2022Q2,474,302,0.6371308016877637
"AMAZON TECHNOLOGIES, INC.",AMZN,2022Q3,2022Q3,485,322,0.6639175257731958
"AMAZON TECHNOLOGIES, INC.",AMZN,2022Q4,2022Q4,492,348,0.7073170731707317
"AMAZON TECHNOLOGIES, INC.",AMZN,2023Q1,2023Q1,426,300,0.704225352112676
"AMAZON TECHNOLOGIES, INC.",AMZN,2023Q2,2023Q2,325,212,0.6523076923076923
"AMAZON TECHNOLOGIES, INC.",AMZN,2023Q3,2023Q3,374,275,0.7352941176470589
"AMAZON TECHNOLOGIES, INC.",AMZN,2023Q4,2023Q4,466,329,0.7060085836909872
"ATLASSIAN, INC.",TEAM,2019Q2,2019Q2,1,0,0.0
"ATLASSIAN, INC.",TEAM,2019Q3,2019Q3,1,0,0.0
"ATLASSIAN, INC.",TEAM,2019Q4,2019Q4,1,1,1.0
"ATLASSIAN, INC.",TEAM,2020Q1,2020Q1,4,2,0.5
"ATLASSIAN, INC.",TEAM,2020Q2,2020Q2,3,3,1.0
"ATLASSIAN, INC.",TEAM,2020Q3,2020Q3,7,4,0.5714285714285714
"ATLASSIAN, INC.",TEAM,2020Q4,2020Q4,7,5,0.7142857142857143
"ATLASSIAN, INC.",TEAM,2021Q1,2021Q1,5,4,0.8
"ATLASSIAN, INC.",TEAM,2021Q2,2021Q2,15,14,0.9333333333333333
"ATLASSIAN, INC.",TEAM,2021Q3,2021Q3,18,16,0.8888888888888888
"ATLASSIAN, INC.",TEAM,2021Q4,2021Q4,16,12,0.75
"ATLASSIAN, INC.",TEAM,2022Q1,2022Q1,23,23,1.0
"ATLASSIAN, INC.",TEAM,2022Q2,2022Q2,14,13,0.9285714285714286
"ATLASSIAN, INC.",TEAM,2022Q3,2022Q3,11,10,0.9090909090909091
"ATLASSIAN, INC.",TEAM,2022Q4,2022Q4,4,3,0.75
"ATLASSIAN, INC.",TEAM,2023Q1,2023Q1,5,5,1.0
"ATLASSIAN, INC.",TEAM,2023Q2,2023Q2,1,1,1.0
"ATLASSIAN, INC.",TEAM,2023Q3,2023Q3,10,10,1.0
"ATLASSIAN, INC.",TEAM,2023Q4,2023Q4,4,3,0.75
Adobe Inc.,ADBE,2019Q1,2019Q1,51,46,0.9019607843137255
Adobe Inc.,ADBE,2019Q2,2019Q2,105,81,0.7714285714285715
Adobe Inc.,ADBE,2019Q3,2019Q3,113,101,0.8938053097345132
Adobe Inc.,ADBE,2019Q4,2019Q4,160,131,0.81875
Adobe Inc.,ADBE,2020Q1,2020Q1,103,89,0.8640776699029126
Adobe Inc.,ADBE,2020Q2,2020Q2,134,118,0.8805970149253731
Adobe Inc.,ADBE,2020Q3,2020Q3,119,110,0.9243697478991597
Adobe Inc.,ADBE,2020Q4,2020Q4,132,119,0.9015151515151515
Adobe Inc.,ADBE,2021Q1,2021Q1,130,114,0.8769230769230769
Adobe Inc.,ADBE,2021Q2,2021Q2,122,108,0.8852459016393442
Adobe Inc.,ADBE,2021Q3,2021Q3,138,124,0.8985507246376812
Adobe Inc.,ADBE,2021Q4,2021Q4,98,87,0.8877551020408163
Adobe Inc.,ADBE,2022Q1,2022Q1,99,93,0.9393939393939394
Adobe Inc.,ADBE,2022Q2,2022Q2,104,90,0.8653846153846154
Adobe Inc.,ADBE,2022Q3,2022Q3,100,92,0.92
Adobe Inc.,ADBE,2022Q4,2022Q4,114,107,0.9385964912280702
Adobe Inc.,ADBE,2023Q1,2023Q1,124,113,0.9112903225806451
Adobe Inc.,ADBE,2023Q2,2023Q2,125,118,0.944
Adobe Inc.,ADBE,2023Q3,2023Q3,106,97,0.9150943396226415
Adobe Inc.,ADBE,2023Q4,2023Q4,121,114,0.9421487603305785
Adobe Systems Incorporated,ADBE,2016Q1,2016Q1,89,66,0.7415730337078652
Adobe Systems Incorporated,ADBE,2016Q2,2016Q2,89,61,0.6853932584269663
Adobe Systems Incorporated,ADBE,2016Q3,2016Q3,103,78,0.7572815533980582
Adobe Systems Incorporated,ADBE,2016Q4,2016Q4,74,48,0.6486486486486487
Adobe Systems Incorporated,ADBE,2017Q1,2017Q1,78,62,0.7948717948717948
Adobe Systems Incorporated,ADBE,2017Q2,2017Q2,97,69,0.711340206185567
Adobe Systems Incorporated,ADBE,2017Q3,2017Q3,86,59,0.686046511627907
Adobe Systems Incorporated,ADBE,2017Q4,2017Q4,78,62,0.7948717948717948
Adobe Systems Incorporated,ADBE,2018Q1,2018Q1,65,49,0.7538461538461538
Adobe Systems Incorporated,ADBE,2018Q2,2018Q2,87,66,0.7586206896551724
Adobe Systems Incorporated,ADBE,2018Q3,2018Q3,96,78,0.8125
Adobe Systems Incorporated,ADBE,2018Q4,2018Q4,95,74,0.7789473684210526
Adobe Systems Incorporated,ADBE,2019Q1,2019Q1,44,35,0.7954545454545454
Adobe Systems Incorporated,ADBE,2019Q2,2019Q2,3,3,1.0
Adobe Systems Incorporated,ADBE,2019Q4,2019Q4,1,1,1.0
"Advanced Micro Devices, Inc.",AMD,2016Q1,2016Q1,61,30,0.4918032786885246
"Advanced Micro Devices, Inc.",AMD,2016Q2,2016Q2,68,31,0.45588235294117646
"Advanced Micro Devices, Inc.",AMD,2016Q3,2016Q3,48,19,0.3958333333333333
"Advanced Micro Devices, Inc.",AMD,2016Q4,2016Q4,39,19,0.48717948717948717
"Advanced Micro Devices, Inc.",AMD,2017Q1,2017Q1,30,10,0.3333333333333333
"Advanced Micro Devices, Inc.",AMD,2017Q2,2017Q2,36,17,0.4722222222222222
"Advanced Micro Devices, Inc.",AMD,2017Q3,2017Q3,37,18,0.4864864864864865
"Advanced Micro Devices, Inc.",AMD,2017Q4,2017Q4,34,11,0.3235294117647059
"Advanced Micro Devices, Inc.",AMD,2018Q1,2018Q1,34,14,0.4117647058823529
"Advanced Micro Devices, Inc.",AMD,2018Q2,2018Q2,27,15,0.5555555555555556
"Advanced Micro Devices, Inc.",AMD,2018Q3,2018Q3,47,28,0.5957446808510638
"Advanced Micro Devices, Inc.",AMD,2018Q4,2018Q4,48,29,0.6041666666666666
"Advanced Micro Devices, Inc.",AMD,2019Q1,2019Q1,45,25,0.5555555555555556
"Advanced Micro Devices, Inc.",AMD,2019Q2,2019Q2,66,32,0.48484848484848486
"Advanced Micro Devices, Inc.",AMD,2019Q3,2019Q3,46,19,0.41304347826086957
"Advanced Micro Devices, Inc.",AMD,2019Q4,2019Q4,56,31,0.5535714285714286
"Advanced Micro Devices, Inc.",AMD,2020Q1,2020Q1,64,23,0.359375
"Advanced Micro Devices, Inc.",AMD,2020Q2,2020Q2,55,22,0.4
"Advanced Micro Devices, Inc.",AMD,2020Q3,2020Q3,48,24,0.5
"Advanced Micro Devices, Inc.",AMD,2020Q4,2020Q4,44,16,0.36363636363636365
"Advanced Micro Devices, Inc.",AMD,2021Q1,2021Q1,58,28,0.4827586206896552
"Advanced Micro Devices, Inc.",AMD,2021Q2,2021Q2,40,17,0.425
"Advanced Micro Devices, Inc.",AMD,2021Q3,2021Q3,51,29,0.5686274509803921
"Advanced Micro Devices, Inc.",AMD,2021Q4,2021Q4,55,29,0.5272727272727272
"Advanced Micro Devices, Inc.",AMD,2022Q1,2022Q1,64,35,0.546875
"Advanced Micro Devices, Inc.",AMD,2022Q2,2022Q2,42,25,0.5952380952380952
"Advanced Micro Devices, Inc.",AMD,2022Q3,2022Q3,58,35,0.603448275862069
"Advanced Micro Devices, Inc.",AMD,2022Q4,2022Q4,76,41,0.5394736842105263
"Advanced Micro Devices, Inc.",AMD,2023Q1,2023Q1,57,33,0.5789473684210527
"Advanced Micro Devices, Inc.",AMD,2023Q2,2023Q2,69,36,0.5217391304347826
"Advanced Micro Devices, Inc.",AMD,2023Q3,2023Q3,88,44,0.5
"Advanced Micro Devices, Inc.",AMD,2023Q4,2023Q4,91,50,0.5494505494505495
"Airbnb, Inc.",ABNB,2016Q1,2016Q1,1,1,1.0
"Airbnb, Inc.",ABNB,2017Q2,2017Q2,1,0,0.0
"Airbnb, Inc.",ABNB,2017Q3,2017Q3,2,1,0.5
"Airbnb, Inc.",ABNB,2017Q4,2017Q4,1,1,1.0
"Airbnb, Inc.",ABNB,2018Q3,2018Q3,1,1,1.0
"Airbnb, Inc.",ABNB,2018Q4,2018Q4,1,1,1.0
"Airbnb, Inc.",ABNB,2019Q1,2019Q1,5,4,0.8
"Airbnb, Inc.",ABNB,2019Q2,2019Q2,3,2,0.6666666666666666
"Airbnb, Inc.",ABNB,2019Q3,2019Q3,3,3,1.0
"Airbnb, Inc.",ABNB,2019Q4,2019Q4,2,2,1.0
"Airbnb, Inc.",ABNB,2020Q1,2020Q1,5,4,0.8
"Airbnb, Inc.",ABNB,2020Q2,2020Q2,7,5,0.7142857142857143
"Airbnb, Inc.",ABNB,2020Q3,2020Q3,2,1,0.5
"Airbnb, Inc.",ABNB,2020Q4,2020Q4,2,1,0.5
"Airbnb, Inc.",ABNB,2021Q1,2021Q1,11,11,1.0
"Airbnb, Inc.",ABNB,2021Q2,2021Q2,8,5,0.625
"Airbnb, Inc.",ABNB,2021Q3,2021Q3,7,7,1.0
"Airbnb, Inc.",ABNB,2021Q4,2021Q4,5,5,1.0
"Airbnb, Inc.",ABNB,2022Q1,2022Q1,9,9,1.0
"Airbnb, Inc.",ABNB,2022Q2,2022Q2,5,5,1.0
"Airbnb, Inc.",ABNB,2022Q3,2022Q3,4,3,0.75
"Airbnb, Inc.",ABNB,2022Q4,2022Q4,3,3,1.0
"Airbnb, Inc.",ABNB,2023Q1,2023Q1,7,7,1.0
"Airbnb, Inc.",ABNB,2023Q2,2023Q2,5,4,0.8
"Airbnb, Inc.",ABNB,2023Q3,2023Q3,3,3,1.0
"Airbnb, Inc.",ABNB,2023Q4,2023Q4,7,7,1.0
"Akamai Technologies, Inc.",AKAM,2016Q1,2016Q1,2,0,0.0
"Akamai Technologies, Inc.",AKAM,2016Q2,2016Q2,1,1,1.0
"Akamai Technologies, Inc.",AKAM,2016Q3,2016Q3,7,5,0.7142857142857143
"Akamai Technologies, Inc.",AKAM,2016Q4,2016Q4,16,6,0.375
"Akamai Technologies, Inc.",AKAM,2017Q1,2017Q1,9,5,0.5555555555555556
"Akamai Technologies, Inc.",AKAM,2017Q2,2017Q2,16,9,0.5625
"Akamai Technologies, Inc.",AKAM,2017Q3,2017Q3,7,2,0.2857142857142857
"Akamai Technologies, Inc.",AKAM,2017Q4,2017Q4,15,6,0.4
"Akamai Technologies, Inc.",AKAM,2018Q1,2018Q1,8,5,0.625
"Akamai Technologies, Inc.",AKAM,2018Q2,2018Q2,9,4,0.4444444444444444
"Akamai Technologies, Inc.",AKAM,2018Q3,2018Q3,9,6,0.6666666666666666
"Akamai Technologies, Inc.",AKAM,2018Q4,2018Q4,8,5,0.625
"Akamai Technologies, Inc.",AKAM,2019Q1,2019Q1,12,6,0.5
"Akamai Technologies, Inc.",AKAM,2019Q2,2019Q2,14,8,0.5714285714285714
"Akamai Technologies, Inc.",AKAM,2019Q3,2019Q3,9,7,0.7777777777777778
"Akamai Technologies, Inc.",AKAM,2019Q4,2019Q4,5,3,0.6
"Akamai Technologies, Inc.",AKAM,2020Q1,2020Q1,20,13,0.65
"Akamai Technologies, Inc.",AKAM,2020Q2,2020Q2,17,7,0.4117647058823529
"Akamai Technologies, Inc.",AKAM,2020Q3,2020Q3,16,12,0.75
"Akamai Technologies, Inc.",AKAM,2020Q4,2020Q4,10,6,0.6
"Akamai Technologies, Inc.",AKAM,2021Q1,2021Q1,21,13,0.6190476190476191
"Akamai Technologies, Inc.",AKAM,2021Q2,2021Q2,12,5,0.4166666666666667
"Akamai Technologies, Inc.",AKAM,2021Q3,2021Q3,12,6,0.5
"Akamai Technologies, Inc.",AKAM,2021Q4,2021Q4,7,4,0.5714285714285714
"Akamai Technologies, Inc.",AKAM,2022Q1,2022Q1,11,5,0.45454545454545453
"Akamai Technologies, Inc.",AKAM,2022Q2,2022Q2,12,10,0.8333333333333334
"Akamai Technologies, Inc.",AKAM,2022Q3,2022Q3,8,4,0.5
"Akamai Technologies, Inc.",AKAM,2022Q4,2022Q4,13,9,0.6923076923076923
"Akamai Technologies, Inc.",AKAM,2023Q1,2023Q1,13,7,0.5384615384615384
"Akamai Technologies, Inc.",AKAM,2023Q2,2023Q2,15,8,0.5333333333333333
"Akamai Technologies, Inc.",AKAM,2023Q3,2023Q3,9,6,0.6666666666666666
"Akamai Technologies, Inc.",AKAM,2023Q4,2023Q4,16,11,0.6875
Alarm.com Incorporated,ALRM,2016Q1,2016Q1,3,2,0.6666666666666666
Alarm.com Incorporated,ALRM,2016Q2,2016Q2,1,0,0.0
Alarm.com Incorporated,ALRM,2016Q3,2016Q3,2,2,1.0
Alarm.com Incorporated,ALRM,2016Q4,2016Q4,11,6,0.5454545454545454
Alarm.com Incorporated,ALRM,2017Q1,2017Q1,6,5,0.8333333333333334
Alarm.com Incorporated,ALRM,2017Q2,2017Q2,12,8,0.6666666666666666
Alarm.com Incorporated,ALRM,2017Q3,2017Q3,6,4,0.6666666666666666
Alarm.com Incorporated,ALRM,2017Q4,2017Q4,13,9,0.6923076923076923
Alarm.com Incorporated,ALRM,2018Q1,2018Q1,6,3,0.5
Alarm.com Incorporated,ALRM,2018Q2,2018Q2,12,9,0.75
Alarm.com Incorporated,ALRM,2018Q3,2018Q3,9,6,0.6666666666666666
Alarm.com Incorporated,ALRM,2018Q4,2018Q4,12,8,0.6666666666666666
Alarm.com Incorporated,ALRM,2019Q1,2019Q1,10,5,0.5
Alarm.com Incorporated,ALRM,2019Q2,2019Q2,21,12,0.5714285714285714
Alarm.com Incorporated,ALRM,2019Q3,2019Q3,21,11,0.5238095238095238
Alarm.com Incorporated,ALRM,2019Q4,2019Q4,16,11,0.6875
Alarm.com Incorporated,ALRM,2020Q1,2020Q1,18,15,0.8333333333333334
Alarm.com Incorporated,ALRM,2020Q2,2020Q2,36,25,0.6944444444444444
Alarm.com Incorporated,ALRM,2020Q3,2020Q3,26,18,0.6923076923076923
Alarm.com Incorporated,ALRM,2020Q4,2020Q4,29,23,0.7931034482758621
Alarm.com Incorporated,ALRM,2021Q1,2021Q1,29,22,0.7586206896551724
Alarm.com Incorporated,ALRM,2021Q2,2021Q2,24,21,0.875
Alarm.com Incorporated,ALRM,2021Q3,2021Q3,22,17,0.7727272727272727
Alarm.com Incorporated,ALRM,2021Q4,2021Q4,24,17,0.7083333333333334
Alarm.com Incorporated,ALRM,2022Q1,2022Q1,20,13,0.65
Alarm.com Incorporated,ALRM,2022Q2,2022Q2,25,18,0.72
Alarm.com Incorporated,ALRM,2022Q3,2022Q3,27,20,0.7407407407407407
Alarm.com Incorporated,ALRM,2022Q4,2022Q4,22,13,0.5909090909090909
Alarm.com Incorporated,ALRM,2023Q1,2023Q1,14,10,0.7142857142857143
Alarm.com Incorporated,ALRM,2023Q2,2023Q2,28,21,0.75
Alarm.com Incorporated,ALRM,2023Q3,2023Q3,32,23,0.71875
Alarm.com Incorporated,ALRM,2023Q4,2023Q4,28,22,0.7857142857142857
"Align Technology, Inc.",ALGN,2016Q1,2016Q1,6,1,0.16666666666666666
"Align Technology, Inc.",ALGN,2016Q2,2016Q2,12,5,0.4166666666666667
"Align Technology, Inc.",ALGN,2016Q3,2016Q3,13,3,0.23076923076923078
"Align Technology, Inc.",ALGN,2016Q4,2016Q4,5,2,0.4
